ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
SUMMIT ACADEMY-YOUNGSTOWN,Ohio,OHIO,390035004887,Youngstown,OH ,44509,2-No,2-No,11.16
SUMMIT ACDY COMM SCHL FOR ALTERNATIVE LEARNERS OF MIDDLETOWN,Ohio,OHIO,390009603913,Middletown,OH ,45044,2-No,2-No,9.89
SUMMIT CHARTER,North Carolina,NORTH CAROLINA,370002902321,Cashiers,NC ,28717,2-No,2-No,13.04
SUMMIT CHARTER ACADEMY,California,CALIFORNIA,060657011526,Porterville,CA ,93257,1-Yes,1-Yes,22.78
SUMMIT COMMUNITY COLLEGE HIGH SCHOOL,Oregon,OREGON,410470001778,Estacada,OR ,97023,1-Yes,1-Yes,†
SUMMIT COVE ELEMENTARY SCHOOL,Colorado,COLORADO,080681001563,DILLON,CO ,80435,2-No,2-No,12.73
SUMMIT DRIVE ELEMENTARY,South Carolina,SOUTH CAROLINA,450231000531,Greenville,SC ,29609,2-No,2-No,16.09
SUMMIT ELEMENTARY,California,CALIFORNIA,062827004381,Ojai,CA ,93023,2-No,2-No,21.50
SUMMIT ELEMENTARY,CALIFORNIA,CALIFORNIA,060243014022,Riverside,CA ,92505,2-No,2-No,†
SUMMIT ELEMENTARY,Idaho,IDAHO,160159000972,JEROME,ID ,83338,2-No,2-No,20.41
SUMMIT ELEMENTARY,Wisconsin,WISCONSIN,551089001425,Oconomowoc,WI ,53066,2-No,2-No,15.96
SUMMIT ELEMENTARY - 02,South Dakota,SOUTH DAKOTA,467014000662,Summit,SD ,57266,2-No,2-No,9.86
SUMMIT ELEMENTARY SCHOOL,Wyoming,WYOMING,560451000451,Casper,WY ,82609,2-No,2-No,16.83
SUMMIT ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210062000117,Ashland,KY ,41102,2-No,2-No,14.54
SUMMIT ELEMENTARY SCHOOL,Indiana,INDIANA,180063002127,Bloomington,IN ,47403,2-No,2-No,15.08
SUMMIT ELEMENTARY SCHOOL,MISSISSIPPI,MISSISSIPPI,280288001456,SUMMIT,MS ,39666,2-No,2-No,15.34
SUMMIT ELEMENTARY SCHOOL,Ohio,OHIO,390473402849,Cincinnati,OH ,45255,2-No,2-No,20.33
SUMMIT ELEMENTARY SCHOOL,Illinois,ILLINOIS,171065001285,Collinsville,IL ,62234,2-No,2-No,13.26
SUMMIT ELEMENTARY SCHOOL,Colorado,COLORADO,080291001468,AURORA,CO ,80015,2-No,2-No,15.67
SUMMIT ELEMENTARY SCHOOL,Colorado,COLORADO,080738000643,DIVIDE,CO ,80814,2-No,2-No,17.92
SUMMIT ENVIRONMENTAL SCHOOL,Wisconsin,WISCONSIN,550753000870,La Crosse,WI ,54603,2-No,2-No,11.80
SUMMIT HALL ELEMENTARY,Maryland,MARYLAND,240048000931,Gaithersburg,MD ,20877,2-No,2-No,11.69
SUMMIT HIGH,California,CALIFORNIA,061392011099,Fontana,CA ,92336,1-Yes,1-Yes,22.61
SUMMIT HIGH,Utah,UTAH,490003000366,Orem,UT ,84058,1-Yes,1-Yes,8.59
SUMMIT HIGH (CONTINUATION),California,CALIFORNIA,062637000185,Concord,CA ,94521,1-Yes,1-Yes,15.82
SUMMIT HIGH (CONTINUATION),California,CALIFORNIA,061111012080,La Quinta,CA ,92253,1-Yes,1-Yes,22.35
SUMMIT HIGH SCHOOL,Arizona,ARIZONA,040286001158,Flagstaff,AZ ,86004,1-Yes,1-Yes,8.12
SUMMIT HIGH SCHOOL,Colorado,COLORADO,080681001164,FRISCO,CO ,80443,1-Yes,1-Yes,17.76
SUMMIT HIGH SCHOOL,Oregon,OREGON,410198001451,Bend,OR ,97701,1-Yes,1-Yes,26.81
SUMMIT HIGH SCHOOL,Tennessee,TENNESSEE,470453002275,Spring Hill,TN ,37174,1-Yes,1-Yes,18.41
SUMMIT HIGH SCHOOL,New Jersey,NEW JERSEY,341590005708,SUMMIT,NJ ,07901,1-Yes,1-Yes,11.58
SUMMIT HIGH SCHOOL - 01,South Dakota,SOUTH DAKOTA,467014000663,Summit,SD ,57266,1-Yes,1-Yes,9.91
SUMMIT HILL EL,Texas,TEXAS,482367002621,HOWE,TX ,75459,2-No,2-No,15.69
SUMMIT HILL ELEMENTARY,Georgia,GEORGIA,130228002321,Alpharetta,GA ,30004,2-No,2-No,16.18
SUMMIT HILL JUNIOR HIGH SCHOOL,Illinois,ILLINOIS,173822003913,Frankfort,IL ,60423,2-No,2-No,15.08
SUMMIT HILLS ELEMENTARY SCHOOL,Idaho,IDAHO,160093001062,IDAHO FALLS,ID ,83401,2-No,2-No,18.95
SUMMIT INNOVATIONS SCHOOL,Wyoming,WYOMING,560583000512,Jackson,WY ,83001,1-Yes,1-Yes,7.64
SUMMIT INTERMEDIATE,California,CALIFORNIA,061296001472,Etiwanda,CA ,91739,2-No,2-No,23.56
SUMMIT INTERMEDIATE SCHOOL,Missouri,MISSOURI,292253002799,NIXA,MO ,65714,2-No,2-No,16.24
SUMMIT LAKES MIDDLE,Missouri,MISSOURI,291830002806,LEE'S SUMMIT,MO ,64082,2-No,2-No,17.20
SUMMIT LANE SCHOOL,New York,NEW YORK,361716001531,LEVITTOWN,NY ,11756,2-No,2-No,10.77
SUMMIT LEADERSHIP ACADEMY-HIGH DESERT,California,CALIFORNIA,060001411118,Hesperia,CA ,92345,1-Yes,1-Yes,16.54
SUMMIT LEARNING CENTER,Texas,TEXAS,481764008519,DUNCANVILLE,TX ,75137,1-Yes,1-Yes,1.78
SUMMIT LEARNING CHARTER,Oregon,OREGON,410470001766,Eagle Creek,OR ,97022,1-Yes,1-Yes,63.02
SUMMIT LEARNING PROGRAM,Minnesota,MINNESOTA,271428002993,HOUSTON,MN ,55943,1-Yes,1-Yes,8.44
SUMMIT MIDDLE CHARTER SCHOOL,Colorado,COLORADO,080249001517,BOULDER,CO ,80305,2-No,2-No,18.04
SUMMIT MIDDLE SCHOOL,Iowa,IOWA,191545000749,Johnston,IA ,50131,2-No,2-No,17.04
SUMMIT MIDDLE SCHOOL,Indiana,INDIANA,180003000116,Fort Wayne,IN ,46814,2-No,2-No,14.45
SUMMIT MIDDLE SCHOOL,Colorado,COLORADO,080681001400,FRISCO,CO ,80443,2-No,2-No,14.23
SUMMIT MS,Oklahoma,OKLAHOMA,401059029716,Edmond,OK ,73013,2-No,2-No,17.21
SUMMIT OAKS-DAY - 40,South Dakota,SOUTH DAKOTA,466627000609,Sioux Falls,SD ,57104,1-Yes,1-Yes,4.75
SUMMIT OAKS-RESIDENTIAL - 48,South Dakota,SOUTH DAKOTA,466627001133,Sioux Falls,SD ,57104,1-Yes,1-Yes,8.00
SUMMIT PARK ELEMENTARY,Maryland,MARYLAND,240012000481,Baltimore,MD ,21209,2-No,2-No,14.74
SUMMIT PARK ELEMENTARY SCHOOL,New York,NEW YORK,362781004569,NEW CITY,NY ,10956,2-No,2-No,18.36
SUMMIT PARKWAY MIDDLE,South Carolina,SOUTH CAROLINA,450339001443,Columbia,SC ,29229,2-No,2-No,16.09
SUMMIT POINTE ELEM.,Missouri,MISSOURI,291830003010,KANSAS CITY,MO ,64149,2-No,2-No,16.74
SUMMIT PREPARATORY CHARTER,CALIFORNIA,CALIFORNIA,062271013881,Los Angeles,CA ,90037,2-No,2-No,15.80
SUMMIT PREPARATORY CHARTER HIGH,California,CALIFORNIA,063639011981,Redwood City,CA ,94063,1-Yes,1-Yes,35.67
SUMMIT PUBLIC SCHOOL K2,CALIFORNIA,CALIFORNIA,069100513776,El Cerrito,CA ,94530,1-Yes,1-Yes,45.86
SUMMIT PUBLIC SCHOOL: DENALI,California,CALIFORNIA,069103513485,Sunnyvale,CA ,94085,1-Yes,1-Yes,34.25
SUMMIT PUBLIC SCHOOL: OLYMPUS,WASHINGTON,WASHINGTON,530033303541,Tacoma,WA ,98421,1-Yes,1-Yes,16.88
SUMMIT PUBLIC SCHOOL: RAINIER,California,CALIFORNIA,061182012769,San Jose,CA ,95127,1-Yes,1-Yes,26.43
SUMMIT PUBLIC SCHOOL: SHASTA,California,CALIFORNIA,061893013354,Daly City,CA ,94015,1-Yes,1-Yes,32.69
SUMMIT PUBLIC SCHOOL: SIERRA,WASHINGTON,WASHINGTON,530033403510,Seattle,WA ,98104,1-Yes,1-Yes,17.27
SUMMIT PUBLIC SCHOOL: TAHOMA,California,CALIFORNIA,069103512625,San Jose,CA ,95123,1-Yes,1-Yes,30.10
SUMMIT PUBLIC SCHOOL: TAMALPAIS,CALIFORNIA,CALIFORNIA,063255013986,Richmond,CA ,94806,1-Yes,1-Yes,29.25
SUMMIT RIDGE MIDDLE SCHOOL,Colorado,COLORADO,080480001054,LITTLETON,CO ,80127,2-No,2-No,18.64
SUMMIT ROAD ELEMENTARY,Ohio,OHIO,390470005654,Reynoldsburg,OH ,43068,2-No,2-No,26.70
SUMMIT SCHOOL,Nevada,NEVADA,320006000517,Las Vegas,NV ,89148,1-Yes,1-Yes,†
SUMMIT SCHOOL,Arizona,ARIZONA,040292002987,Florence,AZ ,85132,1-Yes,1-Yes,7.67
SUMMIT SCHOOL,Utah,UTAH,490012000085,SMITHFIELD,UT ,84335,2-No,2-No,23.86
SUMMIT SCHOOL,Washington,WASHINGTON,530111000188,Spokane Valley,WA ,99216,2-No,2-No,18.03
SUMMIT SECONDARY,CALIFORNIA,CALIFORNIA,060243014032,Riverside,CA ,92505,1-Yes,1-Yes,†
SUMMIT STREET SCHOOL,Vermont,VERMONT,500381000452,Essex Junction,VT ,05452,2-No,2-No,17.24
SUMMIT TOWNSHIP EL SCH,Pennsylvania,PENNSYLVANIA,420459001184,Butler,PA ,16002,2-No,2-No,13.38
SUMMIT TRAIL MIDDLE SCHOOL,Washington,WASHINGTON,530876002979,Maple Valley,WA ,98038,2-No,2-No,22.03
SUMMIT VALLEY SCHOOL,Washington,WASHINGTON,530858001203,Addy,WA ,99101,2-No,2-No,15.37
SUMMIT VIEW,Utah,UTAH,490120000969,OGDEN,UT ,84404,2-No,2-No,†
SUMMIT VIEW ACADEMY,KENTUCKY,KENTUCKY,210309002420,Independence,KY ,41051,2-No,2-No,17.64
SUMMIT VIEW ELEMENTARY,Arizona,ARIZONA,040817001612,Tucson,AZ ,85706,2-No,2-No,22.13
SUMMIT VIEW ELEMENTARY,Wisconsin,WISCONSIN,551578000261,Waukesha,WI ,53188,2-No,2-No,16.68
SUMMIT VIEW ELEMENTARY SCHOOL,Colorado,COLORADO,080345000044,HIGHLANDS RANCH,CO ,80126,2-No,2-No,19.23
SUMMIT VIEW HIGH SCHOOL,Washington,WASHINGTON,530038001069,Brush Prairie,WA ,98606,1-Yes,1-Yes,29.74
SUMMIT VIEW INDEPENDENT STUDY,California,CALIFORNIA,063315008183,Riverside,CA ,92506,1-Yes,1-Yes,23.65
SUMMIT VIEW MIDDLE SCHOOL,WASHINGTON,WASHINGTON,530038003531,Battle Ground,WA ,98604,2-No,2-No,†
SUMMIT VIEW YOUTH J-SHS,Nevada,NEVADA,320006000518,Las Vegas,NV ,89115,1-Yes,1-Yes,7.20
SUMMITT EL,Texas,TEXAS,480894000358,AUSTIN,TX ,78727,2-No,2-No,15.45
SUMMITVIEW EL SCH,Pennsylvania,PENNSYLVANIA,422511005330,Waynesboro,PA ,17268,2-No,2-No,18.33
SUMMITVIEW ELEMENTARY,Washington,WASHINGTON,530972001652,Yakima,WA ,98908,2-No,2-No,17.57
SUMMITVILLE SCHOOL,Indiana,INDIANA,180624001100,Summitville,IN ,46070,2-No,2-No,17.60
SUMNER ACADEMY OF ARTS & SCIENCE,Kansas,KANSAS,200795001419,Kansas City,KS ,66101,1-Yes,1-Yes,14.91
SUMNER ATTENDANCE CENTER,Illinois,ILLINOIS,172213005430,Sumner,IL ,62466,2-No,2-No,13.70
SUMNER AVENUE,Massachusetts,MASSACHUSETTS,251113001830,Springfield,MA ,01108,2-No,2-No,13.60
SUMNER COUNTY MIDDLE COLLEGE HIGH SCHOOL,TENNESSEE,TENNESSEE,470402002408,Gallatin,TN ,37066,1-Yes,1-Yes,16.50
SUMNER COUNTY MIDDLE TECHNICAL COLLEGE HIGH SCHOOL AT PORTLA,TENNESSEE,TENNESSEE,470402002433,Portland,TN ,37148,1-Yes,1-Yes,17.00
SUMNER ELEM MATH & SCI COMM ACAD,Illinois,ILLINOIS,170993001117,Chicago,IL ,60624,2-No,2-No,18.09
SUMNER ELEMENTARY,North Carolina,NORTH CAROLINA,370192000853,Greensboro,NC ,27406,2-No,2-No,17.23
SUMNER ELEMENTARY,Minnesota,MINNESOTA,270345000156,AUSTIN,MN ,55912,2-No,2-No,12.43
SUMNER ELEMENTARY,California,CALIFORNIA,060876000894,Claremont,CA ,91711,2-No,2-No,25.01
SUMNER ELEMENTARY SCHOOL,Massachusetts,MASSACHUSETTS,250279000214,Roslindale,MA ,02131,2-No,2-No,14.90
SUMNER G. WHITTIER SCHOOL,Massachusetts,MASSACHUSETTS,250477000631,Everett,MA ,02149,2-No,2-No,12.18
SUMNER HIGH,Missouri,MISSOURI,292928002009,ST LOUIS,MO ,63113,1-Yes,1-Yes,9.74
SUMNER HIGH SCHOOL,Washington,WASHINGTON,530861001446,Sumner,WA ,98390,1-Yes,1-Yes,23.61
SUMNER HILL JR HI SCHOOL,Mississippi,MISSISSIPPI,280109001029,Clinton,MS ,39056,2-No,2-No,16.73
SUMNER MEMORIAL HIGH SCHOOL,Maine,MAINE,231479000148,Sullivan,ME ,04664,1-Yes,1-Yes,10.00
SUMNER MIDDLE SCHOOL,Washington,WASHINGTON,530861001447,Sumner,WA ,98390,2-No,2-No,21.72
SUMNER SPECIAL SERVICES,Washington,WASHINGTON,530861003243,SUMNER,WA ,98390,2-No,2-No,†
SUMNER-FREDERICKSBURG HIGH SCHOOL,Iowa,IOWA,192760001610,Sumner,IA ,50674,1-Yes,1-Yes,13.98
SUMNER-FREDERICKSBURG MIDDLE SCHOOL,IOWA,IOWA,192760000742,Fredericksburg,IA ,50630,2-No,2-No,16.92
SUMPTER ELEMENTARY SCHOOL,Oregon,OREGON,411082000807,Salem,OR ,97306,2-No,2-No,23.55
SUMRALL  HIGH SCHOOL,Mississippi,MISSISSIPPI,280240001173,Sumrall,MS ,39482,1-Yes,1-Yes,14.22
SUMRALL ELEMENTARY SCHOOL,Mississippi,MISSISSIPPI,280240000969,Sumrall,MS ,39482,2-No,2-No,15.80
SUMRALL MIDDLE SCHOOL,Mississippi,MISSISSIPPI,280240001316,Sumrall,MS ,39482,2-No,2-No,15.25
SUMTER CAREER AND TECHNOLOGY CENTER,South Carolina,SOUTH CAROLINA,450390201388,Sumter,SC ,29154,1-Yes,1-Yes,0.00
SUMTER CENTRAL HIGH SCHOOL,Alabama,ALABAMA,010309002201,York,AL ,36925,1-Yes,1-Yes,15.76
SUMTER COUNTY ADULT CENTER,Florida,FLORIDA,120180007030,SUMTERVILLE,FL ,33585,2-No,2-No,†
SUMTER COUNTY ELEMENTARY SCHOOL,Georgia,GEORGIA,130462001630,Americus,GA ,31719,2-No,2-No,15.48
SUMTER COUNTY INTERMEDIATE SCHOOL,Georgia,GEORGIA,130462000004,Americus,GA ,31719,2-No,2-No,14.88
SUMTER COUNTY MIDDLE SCHOOL,Georgia,GEORGIA,130462002090,Americus,GA ,31719,2-No,2-No,13.52
SUMTER COUNTY PRIMARY SCHOOL,Georgia,GEORGIA,130462002341,Americus,GA ,31719,2-No,2-No,16.21
SUMTER COUNTY VIRTUAL INSTRUCTION PROGRAM,Florida,FLORIDA,120180007769,BUSHNELL,FL ,33513,1-Yes,1-Yes,†
SUMTER DISTRICT OFFICE,Florida,†,120180007110,†,†,†,†,†,†
SUMTER HIGH SCHOOL,South Carolina,SOUTH CAROLINA,450390201065,Sumter,SC ,29154,1-Yes,1-Yes,17.73
SUMTER PREP ACADEMY,Florida,FLORIDA,120180004453,BUSHNELL,FL ,33513,1-Yes,1-Yes,9.63
SUMTER PROFESSIONAL CENTER & EARLY LEARNING ACADEMY,FLORIDA,FLORIDA,120180008465,WILDWOOD,FL ,34785,2-No,2-No,69.00
SUMTER VIRTUAL FRANCHISE,Florida,FLORIDA,120180007964,BUSHNELL,FL ,33513,1-Yes,1-Yes,†
SUMTER YOUTH DEVELOPMENT CAMPUS,Georgia,GEORGIA,130002603518,Americus,GA ,31719,1-Yes,1-Yes,8.50
SUN,Minnesota,MINNESOTA,270002503226,PLYMOUTH,MN ,55441,1-Yes,1-Yes,3.61
SUN 'N LAKE ELEMENTARY SCHOOL,Florida,FLORIDA,120084002504,SEBRING,FL ,33872,2-No,2-No,15.30
SUN AREA TECHNICAL INSTITUTE,Pennsylvania,PENNSYLVANIA,428042007086,New Berlin,PA ,17855,1-Yes,1-Yes,–
SUN BLAZE ELEMENTARY,Florida,FLORIDA,120144008170,ORLANDO,FL ,32832,2-No,2-No,15.35
SUN CANYON SCHOOL,Arizona,ARIZONA,040306002355,Phoenix,AZ ,85043,2-No,2-No,20.53
SUN CENTER,MINNESOTA,MINNESOTA,270579004809,BLOOMINGTON,MN ,55437,2-No,2-No,3.14
SUN CITY ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220027000138,Bossier City,LA ,71112,2-No,2-No,18.27
SUN EMPIRE ELEMENTARY,California,CALIFORNIA,061949008869,Kerman,CA ,93630,2-No,2-No,25.83
SUN PATH ELEMENTARY,Minnesota,MINNESOTA,273300001437,SHAKOPEE,MN ,55379,2-No,2-No,14.55
SUN PRAIRIE EAST HIGH,Wisconsin,WISCONSIN,551464001902,Sun Prairie,WI ,53590,1-Yes,1-Yes,15.59
SUN PRAIRIE FOUR KIDS,Wisconsin,WISCONSIN,551464002761,Sun Prairie,WI ,53590,2-No,2-No,23.45
SUN PROGRAM,Minnesota,MINNESOTA,270007303304,UPSALA,MN ,56384,1-Yes,1-Yes,2.64
SUN RIDGE MIDDLE,Texas,TEXAS,484071008551,EL PASO,TX ,79938,2-No,2-No,16.80
SUN RIVER MIDDLE SCHOOL,Montana,MONTANA,302430000724,Simms,MT ,59477,2-No,2-No,12.47
SUN TERRACE ELEMENTARY,California,CALIFORNIA,062637003975,Concord,CA ,94520,2-No,2-No,21.75
SUN TRANSITION,Minnesota,MINNESOTA,270002503688,PLYMOUTH,MN ,55441,1-Yes,1-Yes,3.85
SUN VALLEY ACADEMY,Arizona,ARIZONA,040079302984,Phoenix,AZ ,85041,2-No,2-No,†
SUN VALLEY EL,Texas,TEXAS,484095004656,SAN ANTONIO,TX ,78227,2-No,2-No,15.51
SUN VALLEY ELEMENTARY,California,CALIFORNIA,063509005940,San Rafael,CA ,94901,2-No,2-No,27.83
SUN VALLEY ELEMENTARY,Nevada,NEVADA,320048000249,Sparks,NV ,89433,2-No,2-No,16.48
SUN VALLEY ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540084000707,LERONA,WV ,25971,2-No,2-No,19.85
SUN VALLEY ELEMENTARY SCHOOL,Arizona,ARIZONA,040625001425,Peoria,AZ ,85345,2-No,2-No,19.42
SUN VALLEY ELEMENTARY SCHOOL,Alabama,ALABAMA,010039001762,Birmingham,AL ,35215,2-No,2-No,16.80
SUN VALLEY ELEMENTARY SCHOOL,Washington,WASHINGTON,530867003250,Sunnyside,WA ,98944,2-No,2-No,14.37
SUN VALLEY HIGH,California,CALIFORNIA,062271012520,Sun Valley,CA ,91352,1-Yes,1-Yes,17.88
SUN VALLEY HIGH,North Carolina,NORTH CAROLINA,370462001803,Monroe,NC ,28110,1-Yes,1-Yes,18.95
SUN VALLEY HIGH SCHOOL,Arizona,ARIZONA,040035401733,Mesa,AZ ,85204,1-Yes,1-Yes,†
SUN VALLEY HS,Pennsylvania,PENNSYLVANIA,421858001915,Aston,PA ,19014,1-Yes,1-Yes,15.88
SUN VALLEY MAGNET,California,CALIFORNIA,062271003378,Sun Valley,CA ,91352,1-Yes,1-Yes,22.04
SUN VALLEY MIDDLE,North Carolina,NORTH CAROLINA,370462001804,Indian Trail,NC ,28079,2-No,2-No,19.31
SUN VIEW ELEMENTARY,California,CALIFORNIA,062814004348,Huntington Beach,CA ,92647,2-No,2-No,23.30
SUNAPEE CENTRAL SCHOOL,New Hampshire,NEW HAMPSHIRE,330654000430,Sunapee,NH ,03782,2-No,2-No,8.62
SUNAPEE MIDDLE HIGH SCHOOL,New Hampshire,NEW HAMPSHIRE,330654000101,Sunapee,NH ,03782,2-No,2-No,11.29
SUNAPEE SR. HIGH SCHOOL,New Hampshire,NEW HAMPSHIRE,330654000431,Sunapee,NH ,03782,1-Yes,1-Yes,9.66
SUNBEAM,Ohio,OHIO,390437800540,Cleveland,OH ,44120,2-No,2-No,10.49
SUNBRIDGE SCHOOLS,Ohio,OHIO,390147505738,Toledo,OH ,43615,2-No,2-No,30.30
SUNBRIGHT SCHOOL,Tennessee,TENNESSEE,470309001238,Sunbright,TN ,37872,1-Yes,1-Yes,16.09
SUNBURST  7 - 8,Montana,MONTANA,302532001069,Sunburst,MT ,59482,2-No,2-No,10.69
SUNBURST ELEMENTARY,Montana,MONTANA,302532000725,Sunburst,MT ,59482,2-No,2-No,9.50
SUNBURST HIGH SCHOOL,Montana,MONTANA,302532000726,Sunburst,MT ,59482,1-Yes,1-Yes,5.92
SUNBURST SCHOOL,Arizona,ARIZONA,040906000942,Glendale,AZ ,85306,2-No,2-No,21.20
SUNCOAST COMMUNITY HIGH SCHOOL,Florida,FLORIDA,120150001484,RIVIERA BEACH,FL ,33404,1-Yes,1-Yes,18.16
SUNCOAST ELEMENTARY SCHOOL,Florida,FLORIDA,120081002250,SPRING HILL,FL ,34609,2-No,2-No,15.68
SUNCOAST HIGH ADULT EDUCATION CENTER,FLORIDA,FLORIDA,120150008441,RIVIERA BEACH,FL ,33404,2-No,2-No,0.00
SUNCOAST POLYTECHNICAL HIGH SCHOOL,Florida,FLORIDA,120168007003,SARASOTA,FL ,34233,1-Yes,1-Yes,22.68
SUNCOAST SCHOOL FOR INNOVATIVE STUDIES,Florida,FLORIDA,120168003508,SARASOTA,FL ,34237,2-No,2-No,10.79
SUNCOAST TECHNICAL COLLEGE,Florida,FLORIDA,120168001861,SARASOTA,FL ,34233,1-Yes,2-No,0.69
SUNCOAST TECHNICAL COLLEGE NORTH PORT,FLORIDA,FLORIDA,120168008553,NORTH PORT,FL ,34286,1-Yes,1-Yes,†
SUNCOAST TECHNICAL EDUCATIONAL CENTER - EXTENSION CAMPUS,Florida,FLORIDA,120081007115,BROOKSVILLE,FL ,34613,2-No,2-No,†
SUNCOAST TECHNICAL EDUCATIONAL CENTER - MAIN CAMPUS,Florida,FLORIDA,120081007058,BROOKSVILLE,FL ,34604,2-No,2-No,†
SUNCREST ELEMENTARY SCHOOL,Indiana,INDIANA,180366000602,Frankfort,IN ,46041,2-No,2-No,20.59
SUNCREST ELEMENTARY SCHOOL,West Virginia,WEST VIRGINIA,540093000802,MORGANTOWN,WV ,26505,2-No,2-No,20.39
SUNCREST MIDDLE SCHOOL,West Virginia,WEST VIRGINIA,540093000801,MORGANTOWN,WV ,26505,2-No,2-No,14.23
SUNCREST SCHOOL,Utah,UTAH,490003000844,OREM,UT ,84057,2-No,2-No,15.35
SUNDALE COLONY ELEMENTARY SCHOOL,North Dakota,NORTH DAKOTA,381293000733,Milnor,ND ,58060,2-No,2-No,9.14
SUNDALE ELEMENTARY,California,CALIFORNIA,063834006453,Tulare,CA ,93274,2-No,2-No,24.88
SUNDANCE ELEMENTARY,California,CALIFORNIA,060429011219,Beaumont,CA ,92223,2-No,2-No,26.34
SUNDANCE ELEMENTARY,New Mexico,NEW MEXICO,350168001029,LOS LUNAS,NM ,87031,2-No,2-No,18.01
SUNDANCE ELEMENTARY,Arizona,ARIZONA,040138002490,Buckeye,AZ ,85326,2-No,2-No,21.44
SUNDANCE ELEMENTARY,Wyoming,WYOMING,560237000150,Sundance,WY ,82729,2-No,2-No,10.70
SUNDANCE ELEMENTARY,California,CALIFORNIA,063153004895,San Diego,CA ,92129,2-No,2-No,25.21
SUNDANCE ELEMENTARY SCHOOL,Arizona,ARIZONA,040625001137,Peoria,AZ ,85345,2-No,2-No,15.45
SUNDANCE SECONDARY SCHOOL,Wyoming,WYOMING,560237000405,Sundance,WY ,82729,1-Yes,1-Yes,8.77
SUNDERLAND ELEMENTARY,Maryland,MARYLAND,240015001505,Sunderland,MD ,20689,2-No,2-No,18.08
SUNDERLAND ELEMENTARY,Massachusetts,MASSACHUSETTS,251137001878,Sunderland,MA ,01375,2-No,2-No,12.07
SUNDERLAND ELEMENTARY SCHOOL,Vermont,VERMONT,500792000321,Arlington,VT ,05250,2-No,2-No,12.18
SUNDOWN EL,Texas,TEXAS,482517005752,KATY,TX ,77449,2-No,2-No,11.68
SUNDOWN EL,Texas,TEXAS,484185004772,SUNDOWN,TX ,79372,2-No,2-No,11.81
SUNDOWN ELEMENTARY,California,CALIFORNIA,064212003262,Lancaster,CA ,93536,2-No,2-No,27.41
SUNDOWN H S,Texas,TEXAS,484185004773,SUNDOWN,TX ,79372,1-Yes,1-Yes,8.17
SUNDOWN J H,Texas,TEXAS,484185004774,SUNDOWN,TX ,79372,2-No,2-No,11.49
SUNDOWN LANE EL,Texas,TEXAS,481281000779,AMARILLO,TX ,79118,2-No,2-No,15.71
SUNED HIGH SCHOOL OF NORTH BROWARD,FLORIDA,FLORIDA,120018008386,MARGATE,FL ,33063,1-Yes,1-Yes,29.90
SUNFIRE HIGH SCHOOL,Florida,FLORIDA,120018008087,OAKLAND PARK,FL ,33311,1-Yes,1-Yes,36.22
SUNFLOWER ELEM,Kansas,KANSAS,201164000932,Shawnee Mission,KS ,66219,2-No,2-No,16.59
SUNFLOWER ELEM,Kansas,KANSAS,201050001627,Paola,KS ,66071,2-No,2-No,14.70
SUNFLOWER ELEMENTARY,California,CALIFORNIA,061203005787,El Centro,CA ,92243,2-No,2-No,29.07
SUNFLOWER ELEMENTARY,Kansas,KANSAS,200642000997,Gardner,KS ,66030,2-No,2-No,16.64
SUNFLOWER ELEMENTARY,Wyoming,WYOMING,560147000436,Gillette,WY ,82718,2-No,2-No,13.13
SUNFLOWER ELEMENTARY,Kansas,KANSAS,200840000778,Lawrence,KS ,66047,2-No,2-No,15.99
SUNFLOWER ELEMENTARY SCHOOL,Kansas,KANSAS,200336001727,Andover,KS ,67002,2-No,2-No,18.48
SUNFLOWER ELEMENTARY SCHOOL,Kansas,KANSAS,200873001589,Liberal,KS ,67901,2-No,2-No,14.40
SUNFLOWER SCHOOL,ARIZONA,ARIZONA,040625003447,Glendale,AZ ,85306,1-Yes,1-Yes,6.50
SUNITA L. WILLIAMS ELEMENTARY,Massachusetts,MASSACHUSETTS,250837001313,Needham,MA ,02494,2-No,2-No,14.88
SUNKIST ELEMENTARY,California,CALIFORNIA,060261000168,Anaheim,CA ,92806,2-No,2-No,25.21
SUNKIST ELEMENTARY,California,CALIFORNIA,061785002206,Port Hueneme,CA ,93041,2-No,2-No,24.03
SUNKIST ELEMENTARY,California,CALIFORNIA,060411000376,La Puente,CA ,91746,2-No,2-No,24.84
SUNLAKE HIGH ADULT EDUCATION,Florida,FLORIDA,120153007383,LAND O LAKES,FL ,34638,2-No,2-No,†
SUNLAKE HIGH SCHOOL,Florida,FLORIDA,120153007331,LAND O LAKES,FL ,34638,1-Yes,1-Yes,18.67
SUNLAND ELEMENTARY,California,CALIFORNIA,062271003379,Sunland,CA ,91040,2-No,2-No,22.00
